model,category,category_type,mean,count
claude,matplotlib,library,0.867,15.0
claude,numpy,library,0.8,15.0
claude,pandas,library,0.533,15.0
claude,scipy,library,0.6,15.0
claude,difficult-rewrite,perturbation_type,0.571,7.0
claude,origin,perturbation_type,0.781,32.0
claude,semantic,perturbation_type,0.684,19.0
claude,surface,perturbation_type,0.0,2.0
gemini,matplotlib,library,0.667,15.0
gemini,numpy,library,0.733,15.0
gemini,pandas,library,0.333,15.0
gemini,scipy,library,0.667,15.0
gemini,difficult-rewrite,perturbation_type,0.571,7.0
gemini,origin,perturbation_type,0.594,32.0
gemini,semantic,perturbation_type,0.684,19.0
gemini,surface,perturbation_type,0.0,2.0
llama,matplotlib,library,0.8,15.0
llama,numpy,library,0.2,15.0
llama,pandas,library,0.4,15.0
llama,scipy,library,0.4,15.0
llama,difficult-rewrite,perturbation_type,0.0,7.0
llama,origin,perturbation_type,0.562,32.0
llama,semantic,perturbation_type,0.474,19.0
llama,surface,perturbation_type,0.0,2.0
o4mini,matplotlib,library,0.8,15.0
o4mini,numpy,library,0.867,15.0
o4mini,pandas,library,0.6,15.0
o4mini,scipy,library,0.8,15.0
o4mini,difficult-rewrite,perturbation_type,0.714,7.0
o4mini,origin,perturbation_type,0.875,32.0
o4mini,semantic,perturbation_type,0.632,19.0
o4mini,surface,perturbation_type,0.5,2.0
openai,matplotlib,library,0.733,15.0
openai,numpy,library,0.867,15.0
openai,pandas,library,0.6,15.0
openai,scipy,library,0.733,15.0
openai,difficult-rewrite,perturbation_type,0.714,7.0
openai,origin,perturbation_type,0.781,32.0
openai,semantic,perturbation_type,0.737,19.0
openai,surface,perturbation_type,0.0,2.0
